feature,shap_importance
summary_cluster,0.15106747
project_id,0.14532614
summary_cluster_multiply_project_id,0.13150734
project_id_diff_summary_cluster,0.04607052
summary_cluster_sum_project_id,0.02646473
project_id_ratio_summary_cluster,0.026405303
summary_cluster_ratio_project_id,0.021508822
