Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
94543384.03110552,644876077.0056269,14058193.116428563,38800673.21274414,72096357.58150215,59180166.01427064,106216358.3541464,47461463.60410778,102161950.0770603,21145686.009503555,0
9791787.554109264,496803740.3937753,-50163086.69281425,-26046471.917164613,-5247164.315784168,11033830.995132709,3722423.297295189,12580541.820501208,-947787.7771848916,-8959955.310635757,10
