name,model_type,metric_type,metric_value,train_time
73_Xgboost_Stacked,Xgboost,r2,-0.01474683460603865,72.32
105_RandomForest_Stacked,Random Forest,r2,-0.014794087467627781,34.03
106_ExtraTrees_Stacked,Extra Trees,r2,-0.014904969085958397,36.0
60_NeuralNetwork_Stacked,Neural Network,r2,-6.976387585259735e+140,69.76
111_LightGBM_Stacked,LightGBM,r2,-0.015045971043433859,26.51
34_CatBoost_Stacked,CatBoost,r2,-0.015164899762838191,26.97
14_Xgboost_Stacked,Xgboost,r2,-0.01470550723556241,43.37
79_RandomForest_Stacked,Random Forest,r2,-0.014948145642059263,39.6
51_ExtraTrees_Stacked,Extra Trees,r2,-0.014361410854041745,35.7
95_NeuralNetwork_Stacked,Neural Network,r2,-1.6275744926415644e+28,48.74
93_LightGBM_Stacked,LightGBM,r2,-0.0148996037085245,28.77
70_CatBoost_Stacked,CatBoost,r2,-0.015126733103966838,87.15
19_Xgboost_Stacked,Xgboost,r2,-0.014816794666611566,62.11
80_RandomForest_Stacked,Random Forest,r2,-0.014806166914267394,29.99
87_ExtraTrees_Stacked,Extra Trees,r2,-0.014565850424442361,35.78
62_NeuralNetwork_Stacked,Neural Network,r2,-1.1014414394945042e+139,61.7
